"month","date","money","diff","assets","debt","assets_money_over_debt","debt_over_incomes"
225,"9/2034",359397,1954,135416.0718239424,41353.63503913019,1196.5406943204237,10.721317348216903
226,"10/2034",361350,1953,135412.43468592828,41066.20535146329,1209.6623742914862,10.721317348216903
227,"11/2034",363303,1953,135408.82934235968,40778.536139056676,1222.97629233607,10.721317348216903
228,"12/2034",362407,-896,135405.2555153019,40490.62720230638,1229.4505911900176,10.721317348216903
229,"1/2035",364360,1953,135401.7129292499,40202.47834144202,1243.111702429746,10.721317348216903
230,"2/2035",366314,1954,135398.2013111069,39914.08935652705,1256.9802027289975,10.721317348216903
231,"3/2035",368267,1953,135394.72039016357,39625.46004745796,1271.055830738486,10.721317348216903
232,"4/2035",370220,1953,135391.26989807686,39336.59021396462,1285.3459518171028,10.721317348216903
233,"5/2035",372174,1954,135387.8495688496,39047.47965561008,1299.8581574161256,10.721317348216903
234,"6/2035",374127,1953,135384.45913880976,38758.12817179011,1314.5925336756973,10.721317348216903
235,"7/2035",376080,1953,135381.09834659033,38468.535561733705,1329.5569765732453,10.721317348216903
236,"8/2035",378034,1954,135377.76693310894,38178.7016245023,1344.7596305988884,10.721317348216903
237,"9/2035",379987,1953,135374.46464154814,37888.62615898987,1360.200980840441,10.721317348216903
238,"10/2035",381940,1953,135371.19121733546,37598.308963922835,1375.889515971895,10.721317348216903
239,"11/2035",383894,1954,135367.9464081237,37307.749837859905,1391.8339987397917,10.721317348216903
240,"12/2035",382997,-897,135364.7299637717,37016.9485791919,1400.3361969580471,10.721317348216903
241,"1/2036",384951,1954,135361.5416363249,36725.90498614171,1416.7453241320031,10.721317348216903
242,"2/2036",386904,1953,135358.3811799962,36434.618856763875,1433.423479008183,10.721317348216903
243,"3/2036",388857,1953,135355.2483511472,36143.089988945096,1450.3802760402757,10.721317348216903
244,"4/2036",390811,1954,135352.1429082692,35851.318180402945,1467.6256539874748,10.721317348216903
245,"5/2036",392764,1953,135349.06461196463,35559.30322868704,1485.1614532928074,10.721317348216903
246,"6/2036",394717,1953,135346.01322492879,35267.0449311781,1502.9980942812776,10.721317348216903
247,"7/2036",396671,1954,135342.98851193127,34974.54308508792,1521.1463584173766,10.721317348216903
248,"8/2036",398624,1953,135339.99023979803,34681.79748745924,1539.608754225835,10.721317348216903
249,"9/2036",400577,1953,135337.01817739333,34388.80793516593,1558.39661318812,10.721317348216903
250,"10/2036",402531,1954,135334.0720956019,34095.57422491236,1577.521670547505,10.721317348216903
251,"11/2036",404484,1953,135331.15176731133,33802.09615323355,1596.9872084860986,10.721317348216903
252,"12/2036",403587,-897,135328.25696739453,33508.37351649509,1608.3002557617544,10.721317348216903
253,"1/2037",405541,1954,135325.3874726924,33214.4061108926,1628.4090272964906,10.721317348216903
